Name,Fe3+/SumFe,Fe2+/SumFe,FeO (wt%),Source,Comment,Total no. of measurements,SiO2,TiO2,Al2O3,Cr2O3,MnO,NiO,MgO,CaO,Na2O,K2O,P2O5,Total
AlmO_OX3,0.031,0.969,26.32017015,Own,yes; also for drift checks,1590,38.62356752,0.079912247,22.23987176,0.03017295,2.602370759,0.002886058,9.040555636,1.759974498,0.012231614,0.000687906,0.04693573,100.7563623
AlmO_3R80,0.031,0.969,26.32017015,Own,yes; also for drift checks,1590,38.62356752,0.079912247,22.23987176,0.03017295,2.602370759,0.002886058,9.040555636,1.759974498,0.012231614,0.000687906,0.04693573,100.7563623
UA5_STDH1,0.126,0.874,8.187705417,Own,yes,1516,41.37148625,0.712266458,19.2944325,4.329497083,0.314987542,0.011872242,19.9635025,5.223772917,0.060709492,0.000536875,0.029390469,99.50160043
UA5_STD1,0.126,0.874,8.187705417,Own,yes,1516,41.37148625,0.712266458,19.2944325,4.329497083,0.314987542,0.011872242,19.9635025,5.223772917,0.060709492,0.000536875,0.029390469,99.50160043
UA10_STDH1,0.068,0.932,7.720273704,Own,"yes, or as secondary std if UA17 is used for calibration",1100,41.50007611,0.064493526,20.20149389,4.916703519,0.404229889,0.006607493,19.91023852,4.991592037,0.028981833,0.000559163,0.033486202,99.77789362
UA17,0.041,0.959,7.876626191,Own,"yes, or as secondary std if UA10 is used for calibration",1289,41.10113175,0.016602268,18.92700376,6.898900105,0.476721776,0.003808902,19.98559492,4.184091472,0.019234268,0.000502541,0.008327779,99.50060113
Damknolle_STDH1,0.044,0.956,19.56005402,Own,yes,1372,39.29278036,0.390548768,22.22535446,0.007133125,0.546295366,0.003201036,10.65878214,7.397526786,0.047401411,0.000475857,0.075634811,100.1970474
AND1,1,0,26.81050667,Own,"yes, but only if samples with high Fe3+ are expected",375,35.41032,0.0125048,0.830841867,0.002390933,1.112482667,0.0029992,0.128204,32.23736,0.005472533,0.000291733,0.009402462,96.56155573
AlmFRA1,0.031,0.969,43.35335652,Own,"yes, can be used instead of AlmMcGuire, also for drift checks",495,36.10403478,0.002895478,20.4581913,0.001948348,0.045562609,0.002812,0.380258609,0.523106609,0.020613739,0.000686609,0.137164,101.024656
Kakanui Pyrope USNM 143968,0.046,0.954,10.36932583,Own,,326,41.37466,0.447224433,23.56262667,0.095569133,0.3239243,0.007581917,18.49443667,5.2143,0.022056683,0.0007621,0.022380759,99.94410812
Mir1,0.049,0.951,11.3308,Own,,50,40.9572,0.40718,23.1346,0.008838,0.350604,0.010082,17.575,5.619,0.023476,0.000198,0.024128,99.429082
Mir13,0.037,0.963,13.88066667,Own,,75,40.41973333,0.496318667,22.76053333,0.003304,0.382026667,0.007724,15.4648,6.136,0.026906667,0.000616,0.013578,99.58770933
Mir2,0.039,0.961,13.07493333,Own,,75,40.97946667,0.401485333,22.99226667,0.005658667,0.37048,0.006072,16.208,5.874,0.022725333,0.000649333,0.022854,99.95097867
Mir23,0.055,0.945,10.776,Own,,100,41.3062,0.428797,23.3687,0.020025,0.336215,0.008373,18.0064,5.4464,0.021542,0.000443,0.022586,99.730395
KerGB,0.051,0.949,10.3047,Own,,100,41.4568,0.398811,23.3216,0.112364,0.32125,0.00694,18.4605,5.2389,0.020336,0.000627,0.019978667,99.657858